cid,mw,heavy_atoms,n_carbon,n_oxygen,n_nitrogen,n_sulfur,n_halogen,heteroatoms,logp,molar_refractivity,tpsa,labute_asa,h_donors,h_acceptors,rot_bonds,rings,aromatic_rings,aliphatic_rings,saturated_rings,fraction_csp3,valence_electrons,bertz_complexity,tag_acid,tag_aromatic,tag_chlorine,tag_citrus,tag_fatty,tag_floral,tag_fruity,tag_green,tag_mint,tag_musty,tag_pungent,tag_rose,tag_spicy,tag_sweet,tag_woody,n_tags,primary_tag_id
10908,116.16,8,6,2,0,0,0,2,1.348,31.519,26.3,49.839,0,2,0,0,0,0,0,0.8333,48,89.192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
10923,207.319,6,2,0,0,0,3,4,2.2439,32.453,0.0,54.646,0,0,1,0,0,0,0,0.0,36,50.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10928,108.524,6,3,2,0,0,1,3,1.3817,22.875,26.3,41.047,0,2,1,0,0,0,0,0.6667,36,52.755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
10946,170.979,9,4,3,0,0,2,5,0.5338,32.539,43.37,61.877,0,3,2,0,0,0,0,0.5,52,108.981,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10947,238.415,17,16,1,0,0,0,1,5.2765,74.192,17.07,107.369,0,1,0,1,0,1,1,0.9375,100,197.702,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14
10977,106.596,6,5,0,0,0,1,1,2.4154,30.245,0.0,44.502,0,0,3,0,0,0,0,1.0,38,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
10986,230.5,9,4,4,0,0,0,5,-2.4901,21.362,80.26,73.034,0,4,0,0,0,0,0,0.5,48,70.568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
10989,158.285,11,10,1,0,0,0,1,3.0952,49.729,9.23,71.137,0,1,6,0,0,0,0,1.0,68,66.942,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
10997,130.112,7,2,4,0,0,0,5,-3.6486,17.882,80.26,70.137,0,4,0,0,0,0,0,0.0,36,30.671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
11025,443.376,17,8,8,0,0,0,9,-5.356,48.478,160.52,118.417,0,8,0,0,0,0,0,0.5,98,161.565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
11088,550.218,24,20,2,0,0,2,4,7.6748,118.826,18.46,173.262,0,2,5,2,2,0,0,0.4,130,673.404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
11124,88.106,6,4,2,0,0,0,2,0.5694,22.307,26.3,37.109,0,2,1,0,0,0,0,0.75,36,43.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,12
11419,112.172,8,7,1,0,0,0,1,1.7656,32.639,17.07,50.085,0,1,0,1,0,1,1,0.8571,46,96.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
11443,174.159,13,9,2,2,0,0,4,1.9296,46.742,58.86,74.64,0,4,2,1,1,0,0,0.1111,64,413.623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
11463,136.238,10,10,0,0,0,0,0,3.453,45.982,0.0,63.639,0,0,0,1,0,1,0,0.6,56,178.215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
11487,169.227,13,12,0,1,0,0,1,3.4302,56.1667,12.03,78.038,1,1,2,2,2,0,0,0.0,64,315.899,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
11552,86.134,6,5,1,0,0,0,1,1.2314,25.519,17.07,38.361,0,1,2,0,0,0,0,0.8,36,39.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11583,100.161,7,6,1,0,0,0,1,1.7656,30.206,17.07,44.725,0,1,3,0,0,0,0,0.8333,42,57.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
